3D7_3,3D7_6,3D7_9,FUP_3,FUP_6,FUP_9
PF3D7_1455700,PF3D7_1455700,PF3D7_1455700,PF3D7_1363300,PF3D7_1131200,PF3D7_1441100
PF3D7_1363300,PF3D7_1363300,PF3D7_1363300,PF3D7_1021400,PF3D7_1021400,PF3D7_1021400
PF3D7_0905200,PF3D7_1245900,PF3D7_1245900,PF3D7_1218400,PF3D7_1218400,PF3D7_1218400
PF3D7_0510500,PF3D7_1441100,PF3D7_1441100,PF3D7_0817400,PF3D7_0817400,PF3D7_0817400
PF3D7_0727300,PF3D7_0817400,PF3D7_0817400,PF3D7_0503300,PF3D7_0503300,PF3D7_0718400
PF3D7_1432500,PF3D7_0905200,PF3D7_0905200,PF3D7_0731600,PF3D7_1348600,PF3D7_1368800
PF3D7_1364200,PF3D7_0510500,PF3D7_1436800,PF3D7_1215600,PF3D7_1027500,PF3D7_0503300
PF3D7_1344100,PF3D7_0727300,PF3D7_0510500,PF3D7_1027500,PF3D7_1355600,PF3D7_1331400
PF3D7_0409500,PF3D7_0109500,PF3D7_0727300,PF3D7_1355600,PF3D7_0211400,PF3D7_0813800
PF3D7_0313500,PF3D7_0211100,PF3D7_0109500,PF3D7_0211400,PF3D7_0709100,PF3D7_1426900
PF3D7_1204900,PF3D7_1364200,PF3D7_0211100,PF3D7_0810700,PF3D7_0516400,PF3D7_1461300
PF3D7_0930800,PF3D7_1344100,PF3D7_1364200,PF3D7_0216200,PF3D7_1247200,PF3D7_1355600
PF3D7_1104000,PF3D7_0409500,PF3D7_1344100,PF3D7_1128400,PF3D7_0218200,PF3D7_0424500
PF3D7_0913500,PF3D7_1416400,PF3D7_0409500,PF3D7_0516400,PF3D7_0519600,PF3D7_0709100
PF3D7_1440000,PF3D7_0313500,PF3D7_1416400,PF3D7_1247200,PF3D7_1116700,PF3D7_0516400
PF3D7_0415100,PF3D7_1013600,PF3D7_0313500,PF3D7_0218200,PF3D7_0810100,PF3D7_1001300
PF3D7_0410600,PF3D7_1411100.1,PF3D7_1013600,PF3D7_0519600,PF3D7_0401600.1,PF3D7_1013600
PF3D7_1136400,PF3D7_1204900,PF3D7_1411100.1,PF3D7_0803800,PF3D7_1445400,PF3D7_1247200
PF3D7_0304800,PF3D7_0523400,PF3D7_1204900,PF3D7_1116700,PF3D7_1432800,PF3D7_0218200
PF3D7_1232300,PF3D7_1450200,PF3D7_0523400,PF3D7_1445400,PF3D7_1353200,PF3D7_0317400
PF3D7_1104100,PF3D7_0930800,PF3D7_1450200,PF3D7_1129100,PF3D7_1300800,PF3D7_0519600
PF3D7_0626300,PF3D7_0703700,PF3D7_0930800,PF3D7_1353200,PF3D7_0725200,PF3D7_1303900
PF3D7_0815100,PF3D7_1104000,PF3D7_0703700,PF3D7_1448100,PF3D7_1448100,PF3D7_1036600.1
PF3D7_1026200,PF3D7_0913500,PF3D7_1104000,PF3D7_1029100.1,PF3D7_0323200,PF3D7_1116700
PF3D7_0814900,PF3D7_1440000,PF3D7_1421600,PF3D7_0508000,PF3D7_1330100,PF3D7_1445400
PF3D7_1363000,PF3D7_1448100,PF3D7_1440000,PF3D7_1004800,PF3D7_0212800,PF3D7_1432800
PF3D7_1020600,PF3D7_0415100,PF3D7_1448100,PF3D7_1476100,PF3D7_1004800,PF3D7_1353200
PF3D7_0619500,PF3D7_0410600,PF3D7_0415100,PF3D7_0814900,PF3D7_1476100,PF3D7_1300800
PF3D7_0719800,PF3D7_1136400,PF3D7_0410600,PF3D7_1012000,PF3D7_0626300,PF3D7_1448100
PF3D7_0727000,PF3D7_0304800,PF3D7_1136400,PF3D7_0403500,PF3D7_1248500,PF3D7_0626100
PF3D7_0503900,PF3D7_1232300,PF3D7_1235100,PF3D7_0807500,PF3D7_1302800,PF3D7_0323200
PF3D7_1226400,PF3D7_1104100,PF3D7_0304800,PF3D7_1246600,PF3D7_0814900,PF3D7_0212800
PF3D7_1019600,PF3D7_1421500,PF3D7_1232300,PF3D7_1426200,PF3D7_1025200,PF3D7_1476100
PF3D7_1305400,PF3D7_0811100,PF3D7_1104100,PF3D7_1129000,PF3D7_1012000,PF3D7_1032800
PF3D7_0804300,PF3D7_0815100,PF3D7_1421500,PF3D7_0509900,PF3D7_0403500,PF3D7_0626300
PF3D7_0803700,PF3D7_1026200,PF3D7_0811100,PF3D7_1339500,PF3D7_0105900,PF3D7_0814900
PF3D7_1244900,PF3D7_0814900,PF3D7_0815100,PF3D7_1408600,PF3D7_0807500,PF3D7_1012000
PF3D7_1030300,PF3D7_1363000,PF3D7_1201900,PF3D7_0507900,PF3D7_1315300,PF3D7_0403500
PF3D7_0926700,PF3D7_1462100,PF3D7_1363000,PF3D7_0306200,PF3D7_1105500,PF3D7_1122100
PF3D7_1307200,PF3D7_1020600,PF3D7_1462100,PF3D7_0614800,PF3D7_0613200,PF3D7_0105900
PF3D7_1405300,PF3D7_0310000,PF3D7_1020600,PF3D7_1026600,PF3D7_1129000,PF3D7_0807500
PF3D7_1309000,PF3D7_0619500,PF3D7_0310000,PF3D7_1122000,PF3D7_1017500,PF3D7_1315300
PF3D7_1209600,PF3D7_1436900,PF3D7_0619500,PF3D7_1443200,PF3D7_0503900,PF3D7_0519300
PF3D7_0621400,PF3D7_0719800,PF3D7_1436900,PF3D7_0829200,PF3D7_0509900,PF3D7_1319500
PF3D7_1432200,PF3D7_1002800,PF3D7_0719800,PF3D7_0808100,PF3D7_1421800,PF3D7_1105500
PF3D7_1136700.2,PF3D7_0727000,PF3D7_1002800,PF3D7_1136200,PF3D7_1408600,PF3D7_0616200
PF3D7_0208400,PF3D7_0503900,PF3D7_0100700,PF3D7_1007400,PF3D7_1121200,PF3D7_0923800.2
PF3D7_1125200,PF3D7_1226400,PF3D7_0727000,PF3D7_1034700,PF3D7_0507900,PF3D7_1129000
PF3D7_1446300,PF3D7_0316900,PF3D7_0503900,PF3D7_1461700,PF3D7_1011800,PF3D7_1347900
PF3D7_0106200,PF3D7_1305400,PF3D7_1226400,PF3D7_0716800,PF3D7_0306200,PF3D7_1017500
PF3D7_1404000,PF3D7_0804300,PF3D7_1402500,PF3D7_1030400,PF3D7_0614800,PF3D7_0509900
PF3D7_1140600,PF3D7_1354600,PF3D7_0316900,PF3D7_1337000,PF3D7_1026600,PF3D7_1421800
PF3D7_0802600,PF3D7_1411800,PF3D7_1305400,PF3D7_1455100,PF3D7_1122000,PF3D7_1011800
PF3D7_0727800,PF3D7_0928000.1,PF3D7_0804300,PF3D7_1325100,PF3D7_0928000.1,PF3D7_0306200
PF3D7_0622800,PF3D7_1244900,PF3D7_1121200,PF3D7_1240400,PF3D7_1330000.1,PF3D7_0614800
PF3D7_1204600,PF3D7_1030300,PF3D7_1354600,PF3D7_1121300,PF3D7_1443200,PF3D7_0322300
PF3D7_1441900,PF3D7_0926700,PF3D7_1411800,PF3D7_1465000,PF3D7_0829200,PF3D7_1122000
PF3D7_1324000,PF3D7_1307200,PF3D7_1244900,PF3D7_1404000,PF3D7_0808100,PF3D7_0928000.1
PF3D7_0408600,PF3D7_1405300,PF3D7_0926700,PF3D7_1140600,PF3D7_1332600,PF3D7_1255200
PF3D7_1358200,PF3D7_1338500,PF3D7_1307200,PF3D7_1038200,PF3D7_1136200,PF3D7_0808100
PF3D7_1118400,PF3D7_1309000,PF3D7_1405300,PF3D7_0907500,PF3D7_0612800,PF3D7_1332600
PF3D7_0506700,PF3D7_1209600,PF3D7_1301900,PF3D7_1361500.2,PF3D7_1007400,PF3D7_0612800
PF3D7_1207600,PF3D7_0621400,PF3D7_1338500,PF3D7_0202300,PF3D7_1034700,PF3D7_0526000
PF3D7_1354500,PF3D7_1432200,PF3D7_1309000,PF3D7_1021000,PF3D7_1461700,PF3D7_1351600
PF3D7_0805600,PF3D7_1136700.2,PF3D7_1209600,PF3D7_1212900,PF3D7_0716800,PF3D7_1034700
PF3D7_1223000,PF3D7_0710400,PF3D7_1233800,PF3D7_1462700,PF3D7_1030400,PF3D7_0716800
PF3D7_0101500,PF3D7_0715800,PF3D7_1136700.2,PF3D7_0520900,PF3D7_0320300,PF3D7_1030400
PF3D7_1123600,PF3D7_0208400,PF3D7_0710400,PF3D7_0303100,PF3D7_1455100,PF3D7_1140300
PF3D7_1106700,PF3D7_1460800,PF3D7_0715800,PF3D7_0827900,PF3D7_1325100,PF3D7_0320300
PF3D7_0312500,PF3D7_1337000,PF3D7_0208400,PF3D7_1206300,PF3D7_1240400,PF3D7_1127100
PF3D7_1204700,PF3D7_1218200,PF3D7_0613000.2,PF3D7_1428300,PF3D7_1121300,PF3D7_1325100
PF3D7_1231900,PF3D7_1125200,PF3D7_0931400,PF3D7_1423300,PF3D7_0203900,PF3D7_1240400
PF3D7_1301200,PF3D7_1446300,PF3D7_1460800,PF3D7_1016400,PF3D7_1465000,PF3D7_1121300
PF3D7_1335700,PF3D7_1344400,PF3D7_1337000,PF3D7_0618200,PF3D7_1404000,PF3D7_1404000
PF3D7_0811000,PF3D7_0916200,PF3D7_1218200,PF3D7_0512900,PF3D7_1140600,PF3D7_1140600
PF3D7_1474500,PF3D7_0106200,PF3D7_1125200,PF3D7_0717400,PF3D7_1038200,PF3D7_1038200
PF3D7_1435200,PF3D7_1404000,PF3D7_1026500,PF3D7_1111400,PF3D7_0907500,PF3D7_1131000
PF3D7_0724300,PF3D7_1140600,PF3D7_1446300,PF3D7_1011700,PF3D7_0202300,PF3D7_1234600
PF3D7_0816600,PF3D7_1472300,PF3D7_1344400,PF3D7_0722500,PF3D7_1021000,PF3D7_0615800
PF3D7_1440700,PF3D7_1030500,PF3D7_1208700,PF3D7_1313700,PF3D7_0312300,PF3D7_0923600
PF3D7_1221600,PF3D7_1218900,PF3D7_0916200,PF3D7_0613600,PF3D7_0923600,PF3D7_1416200
PF3D7_0906890,PF3D7_0828700,PF3D7_0106200,PF3D7_1236700,PF3D7_1212900,PF3D7_1125000
PF3D7_0515900,PF3D7_0828300,PF3D7_1404000,PF3D7_0216700.2,PF3D7_1329400,PF3D7_1357200
PF3D7_1447900,PF3D7_0727800,PF3D7_1140600,PF3D7_1417700,PF3D7_1462700,PF3D7_1441900
PF3D7_0523600,PF3D7_0622800,PF3D7_1472300,PF3D7_0920500,PF3D7_1005700,PF3D7_1462700
PF3D7_1352400,PF3D7_1204600,PF3D7_1030500,PF3D7_0322900,PF3D7_1333300,PF3D7_1005700
PF3D7_1016900,PF3D7_1441900,PF3D7_1218900,PF3D7_0424000,PF3D7_0520900,PF3D7_0524700
PF3D7_1419300,PF3D7_1324000,PF3D7_0828700,PF3D7_1442000,PF3D7_0303100,PF3D7_0414100
PF3D7_0705200,PF3D7_0408600,PF3D7_0828300,PF3D7_1210100,PF3D7_0906100,PF3D7_1333300
PF3D7_1353800,PF3D7_1347300,PF3D7_0727800,PF3D7_1109200,PF3D7_1206300,PF3D7_0717200
PF3D7_1348500,PF3D7_1358200,PF3D7_0622800,PF3D7_1429100,PF3D7_1428300,PF3D7_0819900
PF3D7_1362300,PF3D7_1118400,PF3D7_1204600,PF3D7_0527500,PF3D7_1423300,PF3D7_0520900
PF3D7_0816300,PF3D7_1306100,PF3D7_1441900,PF3D7_0403600,PF3D7_0512800,PF3D7_0303100
PF3D7_1249400,PF3D7_1034600,PF3D7_1324000,PF3D7_1348300,PF3D7_1304000,PF3D7_0906100
PF3D7_0319900,PF3D7_0506700,PF3D7_0408600,PF3D7_1348500,PF3D7_1016400,PF3D7_1428300
PF3D7_0203000,PF3D7_1360300,PF3D7_1347300,PF3D7_0411100,PF3D7_0512900,PF3D7_1024100
PF3D7_1232000,PF3D7_0512900,PF3D7_1358200,PF3D7_1019200,PF3D7_0705900,PF3D7_1336600
PF3D7_1023400,PF3D7_1207600,PF3D7_1333300,PF3D7_0920400,PF3D7_1361400,PF3D7_0512800
PF3D7_1239000,PF3D7_0604800,PF3D7_1212600.1,PF3D7_1226900,PF3D7_0621350,PF3D7_1016400
PF3D7_1236800,PF3D7_1354500,PF3D7_1118400,PF3D7_0817600,PF3D7_1251000,PF3D7_1130500
PF3D7_1354400,PF3D7_0805600,PF3D7_1306100,PF3D7_1465100,PF3D7_1111400,PF3D7_0512900
PF3D7_1012300,PF3D7_0101500,PF3D7_1034600,PF3D7_0531200,PF3D7_1408100,PF3D7_0705900
PF3D7_1234300,PF3D7_1123600,PF3D7_0506700,PF3D7_1307800,PF3D7_1332300,PF3D7_1460900.2
PF3D7_1453000,PF3D7_1106700,PF3D7_1360300,PF3D7_0807100,PF3D7_1011700,PF3D7_1361400
PF3D7_0630700,PF3D7_0501200,PF3D7_0512900,PF3D7_1109400,PF3D7_0722500,PF3D7_0621350
PF3D7_1304700,PF3D7_1204700,PF3D7_1207600,PF3D7_0502600,PF3D7_1313700,PF3D7_1251000
PF3D7_0419200,PF3D7_1231900,PF3D7_0604800,PF3D7_1351200,PF3D7_0613600,PF3D7_1111400
PF3D7_0302600,PF3D7_0412700,PF3D7_1354500,PF3D7_0629200,PF3D7_1242800,PF3D7_1408100
PF3D7_0826200,PF3D7_1301200,PF3D7_0532500,PF3D7_1429700,PF3D7_1351800.2,PF3D7_0319000
PF3D7_0307500,PF3D7_1414200,PF3D7_0805600,PF3D7_1027400,PF3D7_0812220,PF3D7_1332300
PF3D7_0916300,PF3D7_1335700,PF3D7_0101500,PF3D7_1328000,PF3D7_0216700.2,PF3D7_1011700
PF3D7_0908800,PF3D7_0811000,PF3D7_1123600,PF3D7_1037000,PF3D7_0211600,PF3D7_0722500
PF3D7_1412500,PF3D7_1474500,PF3D7_1106700,PF3D7_1253300,PF3D7_0920500,PF3D7_1325500
PF3D7_1027600,PF3D7_1409200.2,PF3D7_0501200,PF3D7_0416000,PF3D7_0424000,PF3D7_1313700
PF3D7_1304100,PF3D7_1435200,PF3D7_1204700,PF3D7_1423200,PF3D7_0200800,PF3D7_0306400
PF3D7_0729300,PF3D7_1433300,PF3D7_1231900,PF3D7_0929200,PF3D7_1442000,PF3D7_1228500
PF3D7_0924400,PF3D7_0724300,PF3D7_0412700,PF3D7_1451500,PF3D7_0929700,PF3D7_1242800
PF3D7_1454700,PF3D7_1248000,PF3D7_1301200,PF3D7_1402000,PF3D7_1210100,PF3D7_0812220
PF3D7_0828100,PF3D7_1138200,PF3D7_1414200,PF3D7_0819600,PF3D7_1454500,PF3D7_0216700.2
PF3D7_1017900,PF3D7_0816600,PF3D7_1335700,PF3D7_0419300,PF3D7_1109200,PF3D7_0211600
PF3D7_1402800,PF3D7_0420600,PF3D7_1474500,PF3D7_1221800,PF3D7_0713700,PF3D7_0424000
PF3D7_1129500,PF3D7_1440700,PF3D7_1409200.2,PF3D7_0717700,PF3D7_1429100,PF3D7_0200800
PF3D7_0422100,PF3D7_1006500,PF3D7_1433300,PF3D7_1129200,PF3D7_1105800,PF3D7_1248000
PF3D7_1230600,PF3D7_0906890,PF3D7_1442000,PF3D7_1121100,PF3D7_0403600,PF3D7_1210100
PF3D7_1133600,PF3D7_0515900,PF3D7_0724300,PF3D7_1362200,PF3D7_1348300,PF3D7_0611100
PF3D7_1236100,PF3D7_1447900,PF3D7_1248000,PF3D7_1438700,PF3D7_1419300,PF3D7_1225900
PF3D7_1342000,PF3D7_0523600,PF3D7_0513900,PF3D7_0811900,PF3D7_1348500,PF3D7_0905700.2
PF3D7_0831900,PF3D7_1352400,PF3D7_1138200,PF3D7_1450100,PF3D7_0920400,PF3D7_1109200
PF3D7_1026900,PF3D7_1119700,PF3D7_0420600,PF3D7_1307900,PF3D7_0927300,PF3D7_1322500
PF3D7_0618900.1,PF3D7_1324500,PF3D7_1440700,PF3D7_1404100,PF3D7_1226900,PF3D7_1220200
PF3D7_1021500,PF3D7_1016900,PF3D7_1006500,PF3D7_0935000,PF3D7_0817600,PF3D7_1301500
PF3D7_1405200,PF3D7_1419300,PF3D7_1448900,PF3D7_0924600,PF3D7_0302700,PF3D7_1471300
PF3D7_0514200,PF3D7_0705200,PF3D7_0906890,PF3D7_0405500,PF3D7_1465100,PF3D7_1429100
PF3D7_0829000,PF3D7_1353800,PF3D7_0515900,PF3D7_1229400,PF3D7_0531200,PF3D7_1016900
PF3D7_1328400,PF3D7_1348500,PF3D7_1447900,PF3D7_0525800,PF3D7_0807100,PF3D7_1348300
PF3D7_1003400,PF3D7_1362300,PF3D7_1352400,PF3D7_1419700,PF3D7_1109400,PF3D7_1348500
PF3D7_0222000,PF3D7_0411100,PF3D7_1119700,PF3D7_0104400,PF3D7_0502600,PF3D7_0920400
PF3D7_0524300,PF3D7_1454200,PF3D7_1016900,PF3D7_0617200,PF3D7_1304300,PF3D7_0927300
PF3D7_0728400.1,PF3D7_1373400,PF3D7_1476200,PF3D7_1126700,PF3D7_0612500,PF3D7_1226900
PF3D7_0827400,PF3D7_0816300,PF3D7_1419300,PF3D7_0928600,PF3D7_1351200,PF3D7_0302700
PF3D7_1410700,PF3D7_1352500,PF3D7_1353800,PF3D7_1232800,PF3D7_1006200,PF3D7_1465100
PF3D7_1368200,PF3D7_1249400,PF3D7_1348500,PF3D7_1347400,PF3D7_0925300,PF3D7_0531200
PF3D7_0822600,PF3D7_0319900,PF3D7_1362300,PF3D7_0302300,PF3D7_1429700,PF3D7_0807100
PF3D7_1236600,PF3D7_1232000,PF3D7_0411100,PF3D7_1003600,PF3D7_0419400,PF3D7_1109400
PF3D7_1353300,PF3D7_0718700,PF3D7_1454200,PF3D7_0301200,PF3D7_1412900.2,PF3D7_0502600
PF3D7_0920700,PF3D7_1023400,PF3D7_1141200,PF3D7_0308300,PF3D7_1328000,PF3D7_0612000
PF3D7_0530900,PF3D7_1239000,PF3D7_0302700,PF3D7_0907400,PF3D7_1037000,PF3D7_0422800
PF3D7_1002500,PF3D7_1314400,PF3D7_0816300,PF3D7_1401400,PF3D7_1253300,PF3D7_0612500
PF3D7_1471900,PF3D7_1315100,PF3D7_0921000.1,PF3D7_1210900,PF3D7_1338300,PF3D7_1351200
PF3D7_1333200,PF3D7_1236800,PF3D7_1352500,PF3D7_0831750,PF3D7_0416000,PF3D7_1006200
PF3D7_1359300,PF3D7_1354400,PF3D7_1249400,PF3D7_1016800,PF3D7_1353700,PF3D7_1429700
PF3D7_1336800,PF3D7_1314600,PF3D7_0319900,PF3D7_1144100,PF3D7_0603300,PF3D7_1036300
PF3D7_1306600,PF3D7_1012300,PF3D7_1232000,PF3D7_0101200,PF3D7_0929200,PF3D7_1234300
PF3D7_1015000,PF3D7_1234300,PF3D7_0718700,PF3D7_1372300,PF3D7_1451500,PF3D7_1329900
PF3D7_0704200,PF3D7_1453000,PF3D7_1023400,PF3D7_1347000,PF3D7_1402000,PF3D7_1328000
PF3D7_1242200,PF3D7_1024900,PF3D7_1239000,PF3D7_0606100,PF3D7_0819600,PF3D7_1037000
PF3D7_0813300,PF3D7_1365600,PF3D7_1314400,PF3D7_0521000,PF3D7_0419300,PF3D7_0107800
PF3D7_1107000,PF3D7_0630700,PF3D7_1315100,PF3D7_0317200,PF3D7_1221800,PF3D7_1338300
PF3D7_1034000,PF3D7_1304700,PF3D7_1236800,PF3D7_1407200,PF3D7_1303200.1,PF3D7_1401200
PF3D7_0511300,PF3D7_0419200,PF3D7_1314600,PF3D7_1317000,PF3D7_1121100,PF3D7_0416000
PF3D7_0915000,PF3D7_0302600,PF3D7_1234300,PF3D7_1328900,PF3D7_0701500,PF3D7_1353700
PF3D7_1345500,PF3D7_0826200,PF3D7_1453000,PF3D7_1123900,PF3D7_1028200,PF3D7_0307500
PF3D7_0619600,PF3D7_0307500,PF3D7_1024900,PF3D7_0305400,PF3D7_0511200,PF3D7_0603300
PF3D7_0614200,PF3D7_1011600,PF3D7_0630700,PF3D7_1427600,PF3D7_1339300,PF3D7_1338700
PF3D7_1216600,PF3D7_0908800,PF3D7_1304700,PF3D7_0110800,PF3D7_1438700,PF3D7_0603700
PF3D7_1431200,PF3D7_1458200,PF3D7_0419200,PF3D7_1452900,PF3D7_0610800,PF3D7_0929200
PF3D7_1354800,PF3D7_1418200,PF3D7_0302600,PF3D7_1345600,PF3D7_0811900,PF3D7_1402000
PF3D7_1311200,PF3D7_1011900,PF3D7_0826200,PF3D7_0912000,PF3D7_1455200.1,PF3D7_1027600
PF3D7_0510200,PF3D7_1366700,PF3D7_1011600,PF3D7_1336800,PF3D7_1450100,PF3D7_0819600
PF3D7_1337400,PF3D7_1027600,PF3D7_0908800,PF3D7_1328100,PF3D7_1307900,PF3D7_0419300
PF3D7_0918600,PF3D7_1203700,PF3D7_1458200,PF3D7_1321500.1,PF3D7_1404100,PF3D7_1304100
PF3D7_1107400,PF3D7_1304100,PF3D7_1418200,PF3D7_0207200,PF3D7_0935000,PF3D7_1336100
PF3D7_1478100,PF3D7_0729300,PF3D7_1366700,PF3D7_1143500,PF3D7_0625500,PF3D7_1221800
PF3D7_0521300,PF3D7_0924400,PF3D7_1027600,PF3D7_1242200,PF3D7_0924600,PF3D7_0314900
PF3D7_0310500,PF3D7_0828100,PF3D7_1203700,PF3D7_0404500,PF3D7_0405500,PF3D7_1431900
PF3D7_1344800,PF3D7_1336000,PF3D7_1304100,PF3D7_1107000,PF3D7_1229400,PF3D7_1303200.1
PF3D7_1112400,PF3D7_1017900,PF3D7_0825600,PF3D7_0400200,PF3D7_0525800,PF3D7_1121100
PF3D7_1230000,PF3D7_1402800,PF3D7_0729300,PF3D7_0830300,PF3D7_1419700,PF3D7_0416100
PF3D7_0321600,PF3D7_1129500,PF3D7_0924400,PF3D7_1359600,PF3D7_0618800,PF3D7_0902300
