HPI,AA13 Rings,AA13 Trophozoites,AA13 Schizonts,AA17 Rings,AA17 Trophozoites,AA17 Schizonts,AS15 Rings,AS15 Trophozoites,AS15 Schizonts,AS16 Rings,AS16 Trophozoites,AS16 Schizonts
3,0.976470588,0.021568627,0.001960784,0.975746269,0.020522388,0.003731343,0.969811321,0.01509434,0.01509434,0.982107356,0.011928429,0.005964215
6,0.972222222,0.01984127,0.007936508,0.963178295,0.025193798,0.011627907,0.966135458,0.025896414,0.007968127,0.977099237,0.015267176,0.007633588
9,0.99,0.004,0.006,0.988,0.006,0.006,0.958661417,0.041338583,0,0.962598425,0.029527559,0.007874016
12,0.974103586,0.021912351,0.003984064,0.980079681,0.015936255,0.003984064,0.982421875,0.01171875,0.005859375,0.96007984,0.03992016,0
15,0.969818913,0.026156942,0.004024145,0.940711462,0.057312253,0.001976285,0.964426877,0.035573123,0,0.958083832,0.041916168,0
18,0.954455446,0.045544554,0,0.969465649,0.030534351,0,0.972,0.028,0,0.980119284,0.017892644,0.001988072
21,0.947895792,0.038076152,0.014028056,0.89453125,0.1015625,0.00390625,0.942800789,0.055226824,0.001972387,0.936633663,0.059405941,0.003960396
24,0.604868914,0.393258427,0.001872659,0.961165049,0.023300971,0.015533981,0.726396917,0.273603083,0,0.760956175,0.239043825,0
27,0.638339921,0.35770751,0.003952569,0.407540395,0.592459605,0,0.761431412,0.232604374,0.005964215,0.42970297,0.564356436,0.005940594
30,0.347572816,0.648543689,0.003883495,0.382178218,0.607920792,0.00990099,0.284860558,0.711155378,0.003984064,0.473161034,0.510934394,0.015904573
33,0.027504912,0.970530452,0.001964637,0.029182879,0.931906615,0.038910506,0.033203125,0.96484375,0.001953125,0.014778325,0.950738916,0.034482759
36,0.005940594,0.954455446,0.03960396,0.001996008,0.908183633,0.089820359,0.007736944,0.936170213,0.056092843,0.031936128,0.928143713,0.03992016
39,0,0.849129594,0.150870406,0.013671875,0.7421875,0.244140625,0.002004008,0.719438878,0.278557114,0.14,0.84,0.02
42,0.011904762,0.525793651,0.462301587,0.013888889,0.192460317,0.793650794,0.016216216,0.668468468,0.315315315,0.017509728,0.527237354,0.455252918
45,0.048,0.136,0.816,0.055009823,0.16502947,0.779960707,0.043824701,0.15936255,0.796812749,0.065737052,0.187250996,0.747011952
48,0.079840319,0.171656687,0.748502994,0.067594433,0.190854871,0.741550696,0.055666004,0.127236581,0.817097416,0.072144289,0.160320641,0.76753507